1250,26,3.7,38,Out-of-State,10,Chemistry,54,Accepted,1
1060,21,4,42,In-State,9,Trades and Personal Services,75,Considering,1
1350,29,3.6,37,In-State,9,Engineering,59,Accepted,1
1350,29,3.8,39,Out-of-State,10,Business and Management,53,Considering,1
1040,20,2.5,26,Out-of-State,10,Engineering,59,Considering,1
1240,26,3.9,40,Out-of-State,10,Engineering,59,Considering,1
1050,20,4,42,Out-of-State,10,International Relations,74,Considering,1
1090,21,4,42,Out-of-State,10,Communications,55,Considering,1
1430,32,4,42,Out-of-State,10,Engineering,59,Considering,1
1220,25,4,42,Out-of-State,10,International Relations,74,Considering,1
1490,34,3.8,39,In-State,9,Engineering,59,Accepted,1
1600,36,3.7,38,In-State,9,Computer Science,56,Accepted,1
1420,32,3.4,35,Out-of-State,10,Political Science,69,Considering,1
1050,20,3.3,34,Out-of-State,10,Biology,52,Considering,1
1410,31,3.8,39,In-State,9,Business and Management,53,Accepted,1
1060,21,3.5,36,Out-of-State,10,Engineering,59,Considering,1
1090,21,3.9,40,In-State,9,Engineering,59,Accepted,1
1220,25,3.9,40,In-State,9,Computer Science,56,Rejected,0
1130,23,4,42,Out-of-State,10,Psychology,70,Considering,1
1300,28,3.9,40,Out-of-State,10,Biology,52,Considering,1
990,19,3.8,39,Out-of-State,10,Education,58,Considering,1
1200,25,3.3,34,Out-of-State,10,International Relations,74,Considering,1
1030,20,3.6,37,In-State,9,Psychology,70,Considering,1
1140,23,4,42,In-State,9,Education,58,Accepted,1
1040,20,3.8,39,Out-of-State,10,International Relations,74,Considering,1
920,17,3.8,39,In-State,9,Engineering,59,Considering,1
1240,26,3.9,40,In-State,9,Business and Management,53,Accepted,1
1380,30,3.9,40,Out-of-State,10,International Relations,74,Considering,1
970,18,3.8,39,Out-of-State,10,Design,57,Considering,1
1280,27,3.3,34,Out-of-State,10,Communications,55,Considering,1
1030,20,3.5,36,In-State,9,Business and Management,53,Considering,1
1030,20,4,42,In-State,9,Environmental Science,61,Considering,1
1060,21,3.7,38,In-State,9,International Relations,74,Considering,1
1490,34,3.8,39,In-State,9,Engineering,59,Accepted,1
1430,32,4,42,In-State,9,Engineering,59,Accepted,1
910,16,3.3,34,In-State,9,Chemistry,54,Considering,1
1380,30,3,31,Out-of-State,10,Business and Management,53,Considering,1
1530,35,4,42,In-State,9,Engineering,59,Accepted,1
1430,32,4,42,Out-of-State,10,Engineering,59,Considering,1
1230,26,3.9,40,Out-of-State,10,Engineering,59,Accepted,1
1170,24,3.7,38,Out-of-State,10,Political Science,69,Considering,1
1390,31,3.4,35,In-State,9,Education,58,Considering,1
1080,21,3.8,39,Out-of-State,10,Psychology,70,Considering,1
