1380,30,3.6,37,Undecided,80,Accepted,1
1350,29,4,42,Biology,53,Rejected,0
1180,24,3.8,39,Health Professions,67,Accepted,1
1350,29,3.6,37,Undecided,80,Accepted,1
1110,22,4,42,English,62,Rejected,0
1380,30,3.8,39,Business and Management,54,Rejected,0
1460,33,3.6,37,Undecided,80,Accepted,1
1210,25,3.6,37,Business and Management,54,Accepted,1
1230,26,4,42,Political Science,74,Accepted,1
1530,35,4,42,Psychology,75,Accepted,1
1130,23,3.7,38,Undecided,80,Rejected,0
1460,33,3.7,38,Health Professions,67,Accepted,1
1010,19,3.3,34,Undecided,80,Rejected,0
1030,20,3.3,34,Finance and Accounting,65,Rejected,0
1190,24,3.5,36,Biology,53,Accepted,1
1290,27,3.4,35,Undecided,80,Accepted,1
1530,35,4,42,Economics,59,Rejected,0
1130,23,3.7,38,Political Science,74,Rejected,0
1070,21,3.6,37,Biology,53,Rejected,0
1440,32,3,31,Biology,53,Accepted,1
1470,33,3.9,40,Political Science,74,Accepted,1
1530,35,3.9,40,Engineering,61,Accepted,1
1540,35,3.9,40,Economics,59,Accepted,1
1270,27,3.7,38,Psychology,75,Rejected,0
1090,21,3.1,32,Psychology,75,Rejected,0
1240,26,3.4,35,Undecided,80,Accepted,1
1310,28,3.8,39,Business and Management,54,Accepted,1
1390,31,3.5,36,Communications,56,Accepted,1
1170,24,3.7,38,Biology,53,Rejected,0
1180,24,3.3,34,Health Professions,67,Rejected,0
1370,30,3.7,38,Undecided,80,Accepted,1
960,18,3.6,37,Health Professions,67,Rejected,0
1320,28,4,42,Performing Arts,72,Accepted,1
1420,32,3.9,40,Computer Science,57,Accepted,1
1040,20,3.8,39,Performing Arts,72,Accepted,1
1410,31,3.8,39,Biology,53,Accepted,1
1570,36,4,42,English,62,Accepted,1
1130,23,3.2,33,English,62,Rejected,0
1340,29,3.8,39,History,68,Rejected,0
1460,33,3.8,39,Engineering,61,Accepted,1
980,18,4,42,Political Science,74,Rejected,0
1300,28,3.8,39,Biology,53,Accepted,1
1480,33,3.5,36,Music,70,Accepted,1
1380,30,3.5,36,Business and Management,54,Accepted,1
1280,27,4,42,Business and Management,54,Accepted,1
1430,32,4,42,Health Professions,67,Accepted,1
1350,29,3.9,40,Engineering,61,Accepted,1
1030,20,3.5,36,Finance and Accounting,65,Rejected,0
1460,33,3.8,39,International Relations,78,Accepted,1
1240,26,3.6,37,Undecided,80,Rejected,0
1490,34,4,42,Performing Arts,72,Rejected,0
1340,29,3.7,38,Communications,56,Rejected,0
1420,32,3.9,40,Finance and Accounting,65,Accepted,1
1310,28,4,42,Biology,53,Accepted,1
1280,27,3.3,34,Music,70,Accepted,1
1380,30,3.8,39,Music,70,Accepted,1
1480,33,3.8,39,Undecided,80,Accepted,1
1370,30,3.9,40,International Relations,78,Accepted,1
950,17,3.3,34,Psychology,75,Rejected,0
1430,32,3.8,39,Psychology,75,Accepted,1
1490,34,3.9,40,Performing Arts,72,Accepted,1
1130,23,4,42,Psychology,75,Accepted,1
1190,24,3.7,38,Business and Management,54,Rejected,0
1490,34,4,42,Undecided,80,Accepted,1
1360,30,2.3,24,Computer Science,57,Rejected,0
1380,30,3.8,39,Communications,56,Accepted,1
1520,34,3.6,37,English,62,Accepted,1
1390,31,3.5,36,Economics,59,Accepted,1
1220,25,4,42,Undecided,80,Rejected,0
1490,34,4,42,Undecided,80,Accepted,1
1150,23,3.5,36,Finance and Accounting,65,Rejected,0
1240,26,3.9,40,Undecided,80,Rejected,0
1270,27,3.5,36,Business and Management,54,Accepted,1
1380,30,3.8,39,Performing Arts,72,Accepted,1
1230,26,4,42,International Relations,78,Accepted,1
1570,36,4,42,Economics,59,Accepted,1
1560,35,3.8,39,Communications,56,Accepted,1
1100,22,3.7,38,Undecided,80,Rejected,0
1380,30,4,42,Undecided,80,Accepted,1
1310,28,3.1,32,Biology,53,Accepted,1
1560,35,3.7,38,Biology,53,Accepted,1
1330,29,4,42,Film and Photography,64,Accepted,1
1380,30,3.9,40,Health Professions,67,Accepted,1
1520,34,3.9,40,Health Professions,67,Accepted,1
1040,20,3.5,36,Health Professions,67,Rejected,0
1380,30,3.9,40,Political Science,74,Accepted,1
1200,25,3.5,36,Business and Management,54,Accepted,1
1600,36,4,42,Political Science,74,Accepted,1
1570,36,3.8,39,Undecided,80,Accepted,1
1210,25,4,42,Health Professions,67,Rejected,0
1350,29,4,42,Performing Arts,72,Accepted,1
1460,33,3.7,38,Communications,56,Accepted,1
1010,19,2.5,26,Performing Arts,72,Rejected,0
1430,32,3.7,38,Biology,53,Accepted,1
1350,29,3.7,38,Engineering,61,Accepted,1
1320,28,3.7,38,Biology,53,Accepted,1
1020,19,3.3,34,Health Professions,67,Rejected,0
1460,33,3.1,32,International Relations,78,Accepted,1
1150,23,3.8,39,Computer Science,57,Accepted,1
1460,33,3.9,40,Undecided,80,Rejected,0
