1080,3.9,40,9,63
1430,3.5,36,10,76
1070,3.5,36,9,62
1270,3.2,33,9,55
1250,3.6,37,9,82
1350,3,31,10,56
1160,3.8,39,10,68
1290,3.7,38,10,79
1400,3.5,36,9,55
1350,3.4,35,10,70
990,2.8,29,10,62
990,3.5,36,10,74
1170,3.8,39,10,56
1270,3.2,33,9,63
1360,3.7,38,9,58
1380,3.5,36,10,63
990,2.5,26,9,56
1230,3.8,39,10,78
1380,3.8,39,9,58
1210,2.5,26,9,56
1260,3.5,36,9,74
1210,4,42,9,56
1050,3,31,10,61
1400,3.6,37,9,67
1060,2.9,30,10,56
1220,3.8,39,9,55
1160,3.2,33,10,60
1280,3.7,38,10,63
1060,3.3,34,10,63
1010,3,31,9,56
1350,4,42,10,56
1230,3.3,34,10,58
1140,3.7,38,9,63
1170,2.9,30,10,62
1240,3.6,37,9,60
1260,4,42,9,55
1270,3.8,39,10,62
950,3.4,35,10,59
1060,3.7,38,10,82
1350,3.8,39,9,63
1280,3.8,39,10,55
1100,4,42,10,83
1120,2.7,28,10,72
1380,3.4,35,9,55
1190,3.4,35,9,56
1420,3.8,39,10,82
1110,4,42,10,63
1210,3.8,39,10,55
1350,3.9,40,10,83
1050,3.5,36,10,56
1410,4,42,9,55
1190,3.3,34,10,83
970,3.5,36,10,83
1420,3.6,37,9,67
1530,4,42,9,61
1150,3.4,35,9,55
1060,3,31,10,60
1350,3.5,36,10,82
1380,3.2,33,10,56
1140,3.8,39,10,62
1020,3.7,38,9,78
1490,2.9,30,10,58
1270,3.9,40,9,67
1220,3,31,10,74
1510,3.4,35,9,59
1200,3.6,37,10,55
1250,4,42,10,72
1200,3.2,33,9,70
1350,3.4,35,10,58
920,3.1,32,10,70
1210,2.3,24,10,61
1040,3.2,33,9,58
1130,3.1,32,10,83
1130,3.5,36,10,51
1120,3.5,36,10,59
1490,3.4,35,10,63
1130,3.3,34,10,58
1380,3.9,40,9,77
1450,3,31,10,55
1570,3.8,39,10,55
1200,2.8,29,9,64
1140,3.7,38,10,62
1340,4,42,10,59
1130,3.5,36,10,55
1340,3.8,39,9,62
1200,3,31,9,64
1440,3.5,36,10,55
1400,3.5,36,10,82
1240,3.8,39,10,56
1050,3.6,37,10,78
990,3.4,35,10,74
1460,3.7,38,9,72
1270,3.3,34,10,70
1400,3.7,38,9,82
1280,4,42,9,56
1520,3.8,39,10,82
1180,3.8,39,10,71
790,2.6,27,9,60
1120,4,42,9,55
1400,4,42,10,59
1310,3.8,39,10,56
970,3,31,10,55
1420,2.5,26,9,79
1490,3.8,39,10,63
